Group,Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
All,SummerLab_IBA,0.027435486,Otu00037,1.32E-05,0.002166672,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.047400312,0.058102965,0.000154018,0.000521108
All,SummerWild_IBA,0.010771216,Otu00159,3.31E-05,0.002166672,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerWild_IBA,0.013270374,Otu00062,3.39E-05,0.002166672,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023789104,0.018080241,0,0
All,SummerWild_IBA,0.011016921,Otu00091,3.39E-05,0.002166672,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerLab_Torpor,0.027725198,Otu00037,5.50E-05,0.002815805,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.047400312,0.058102965,1.17E-05,3.71E-05
All,SummerWild_SummerLab,0.011295018,Otu00159,0.000101365,0.003331993,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerWild_SummerLab,0.013915708,Otu00062,0.000104125,0.003331993,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023789104,0.018080241,0,0
All,SummerWild_SummerLab,0.011552671,Otu00091,0.000104125,0.003331993,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerWild_Torpor,0.010809407,Otu00159,0.000179431,0.004728535,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerWild_Torpor,0.011055977,Otu00091,0.000184708,0.004728535,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerLab_IBA,0.015968772,Otu00032,0.000225873,0.005256677,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.027592525,0.057482603,9.02E-06,3.25E-05
All,IBA_Spring,0.040473052,Otu00045,0.000268998,0.005737702,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,9.98E-05,0.000106053,0.071894687,0.087797191
All,Torpor_Spring,0.040454601,Otu00045,0.000310583,0.005737702,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,3.51E-05,7.89E-05,0.071894687,0.087797191
All,SummerLab_Spring,0.028218196,Otu00037,0.000327948,0.005737702,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.047400312,0.058102965,0,0
All,SummerWild_Torpor,0.01331076,Otu00062,0.000336194,0.005737702,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023789104,0.018080241,1.17E-05,3.71E-05
All,SummerLab_Torpor,0.012175267,Otu00016,0.000665668,0.010650687,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.002397908,0.006211789,0.021943457,0.01972931
All,SummerWild_SummerLab,0.027616703,Otu00037,0.000884871,0.013325121,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000370808,0.000573493,0.047400312,0.058102965
All,SummerWild_Spring,0.010561291,Otu00159,0.001067954,0.014567623,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
All,SummerWild_Spring,0.010802199,Otu00091,0.001108855,0.014567623,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.019694669,0.02592564,0,0
All,SummerWild_Torpor,0.011707415,Otu00016,0.001138096,0.014567623,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.001101595,0.000631687,0.021943457,0.01972931
All,SummerWild_IBA,0.013781869,Otu00116,0.001388739,0.016159873,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.024657891,0.037529058,0,0
All,SummerWild_IBA,0.011124093,Otu00039,0.001388739,0.016159873,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.019901281,0.018964909,0,0
All,SummerWild_Spring,0.01300248,Otu00062,0.001602001,0.017830964,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023789104,0.018080241,1.66E-05,4.40E-05
Summer_Lab,Female_Male,0.014434881,Otu00158,0.002181432,0.023268606,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0,0,0.023302816,0.023645866
IBA,Female_Male,0.048937704,Otu00011,0.002699796,0.026806228,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.005806926,0.008360722,0.078005831,0.039242899
All,SummerLab_IBA,0.12101815,Otu00001,0.002722508,0.026806228,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.0032998,0.006409752,0.210535859,0.245667934
All,SummerLab_Torpor,0.016079164,Otu00032,0.002877806,0.02715203,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.027592525,0.057482603,3.53E-05,5.68E-05
All,SummerWild_SummerLab,0.014452078,Otu00116,0.002969753,0.02715203,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.024657891,0.037529058,0,0
All,SummerWild_Spring,0.039497742,Otu00045,0.003274558,0.028906447,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000136578,0.000135567,0.071894687,0.087797191
All,Male_Female,0.011251516,Otu00022,0.003392062,0.028945595,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.004198637,0.005620414,0.015524493,0.05850929
All,SummerWild_Torpor,0.013830713,Otu00116,0.004373545,0.036117018,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.024657891,0.037529058,0,0
Summer_Lab,Female_Male,0.014643315,Otu00079,0.005522083,0.04417666,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000457341,0.001158857,0.024088857,0.014491852
All,Torpor_Spring,0.047611368,Otu00004,0.009484028,0.073573063,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.088463958,0.118569326,0.006856759,0.011769113
All,SummerWild_IBA,0.11659581,Otu00001,0.01028559,0.076911513,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.003892491,0.006152169,0.210535859,0.245667934
Torpor,Female_Male,0.025513679,Otu00017,0.010515246,0.076911513,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.040340449,0.051868204,0.001261036,0.000312472
All,SummerLab_Torpor,0.050436283,Otu00004,0.011111613,0.079015912,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.00410277,0.008044133,0.088463958,0.118569326
All,Male_Female,0.01412097,Otu00035,0.012084572,0.083612174,Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified,0.022822586,0.040292188,0.002050046,0.00698024
All,SummerLab_Torpor,0.018587393,Otu00018,0.012624191,0.085047183,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.031836893,0.042081599,0.000105973,0.000151297
All,SummerLab_IBA,0.018387909,Otu00018,0.013660947,0.089671858,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.031836893,0.042081599,0.000649564,0.001757889
All,SummerWild_Spring,0.01351324,Otu00116,0.014574297,0.093275498,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.024657891,0.037529058,0,0
Spring,Male_Female,0.023711329,Otu00274,0.0157253,0.096501123,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Butyrivibrio,0.037296016,0.00157233,0,0
All,Male_Female,0.011491422,Otu00017,0.015879663,0.096501123,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.003999462,0.005045541,0.020415823,0.032713357
All,Male_Female,0.010730176,Otu00034,0.016209173,0.096501123,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.017424059,0.046031124,0.001319022,0.00298711
All,IBA_Torpor,0.019128609,Otu00013,0.018178814,0.105767644,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.026229039,0.038092367,0.006298004,0.017821135
All,SummerWild_IBA,0.013680782,Otu00034,0.019122251,0.108784359,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0,0,0.024494531,0.056289879
All,SummerWild_SummerLab,0.016001666,Otu00032,0.020726427,0.11534707,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000548708,0.000860454,0.027592525,0.057482603
All,SummerLab_Torpor,0.013985032,Otu00019,0.02281431,0.12426518,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.023977056,0.026640298,8.22E-05,0.000124328
Summer_Lab,Female_Male,0.047890038,Otu00037,0.023342202,0.124491744,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.019550182,0.010786918,0.096138037,0.077740013
All,SummerLab_IBA,0.013869873,Otu00019,0.02403321,0.125561259,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.023977056,0.026640298,0.000144958,0.000192799
All,SummerWild_Torpor,0.0482028,Otu00004,0.026069563,0.133476161,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.004391238,0.00524286,0.088463958,0.118569326
All,SummerLab_Torpor,0.015267734,Otu00003,0.027402205,0.136603028,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.026281412,0.033493043,0.000352774,0.000592559
All,Torpor_Spring,0.030515425,Otu00074,0.02774749,0.136603028,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0,0,0.05432007,0.124989396
Summer_Wild,Male_Female,0.01091696,Otu00327,0.028459737,0.137465899,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0,0,0.015983189,0.001922247
IBA,Female_Male,0.025661744,Otu00035,0.034220094,0.159278981,Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified,1.68E-05,4.45E-05,0.037881848,0.047174247
IBA,Female_Male,0.019326892,Otu00012,0.034220094,0.159278981,Verrucomicrobia - WCHB1-41 - WCHB1-41_or - WCHB1-41_fa - WCHB1-41_ge,1.67E-05,4.43E-05,0.028529086,0.027526939
All,Male_Female,0.013907511,Otu00049,0.035465006,0.162125742,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.022990452,0.064626006,0.000358781,0.00131639
All,SummerWild_Spring,0.011723003,Otu00132,0.036276172,0.162924563,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0,0,0.021318966,0.047930557
All,Torpor_Spring,0.010590507,Otu00016,0.04030133,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.021943457,0.01972931,0.006859027,0.00929214
All,IBA_Torpor,0.140331808,Otu00001,0.042030218,0.176304261,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.210535859,0.245667934,0.053931888,0.073080519
All,SummerWild_Torpor,0.011132616,Otu00039,0.042164931,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.019901281,0.018964909,0.000164293,0.000318373
Spring,Male_Female,0.010662176,Otu00194,0.044474348,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.016881414,0.004601278,0.00011812,0.000166944
Spring,Male_Female,0.010633789,Otu00184,0.044474348,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Roseburia,0.01685002,0.003584152,0.000117665,0.000166542
Torpor,Female_Male,0.046636954,Otu00012,0.04487905,0.176304261,Verrucomicrobia - WCHB1-41 - WCHB1-41_or - WCHB1-41_fa - WCHB1-41_ge,0.021505814,0.052620933,0.070943819,0.081946757
All,SummerLab_Torpor,0.024202594,Otu00012,0.047399366,0.176304261,Verrucomicrobia - WCHB1-41 - WCHB1-41_or - WCHB1-41_fa - WCHB1-41_ge,0.000161691,0.000498128,0.041281016,0.06654698
All,IBA_Spring,0.114064017,Otu00001,0.047416226,0.176304261,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.210535859,0.245667934,0.020875134,0.025831289
All,IBA_Spring,0.016025004,Otu00127,0.04800604,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0,0,0.028484363,0.060545093
All,SummerWild_Torpor,0.016749494,Otu00020,0.049195881,0.176304261,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.000731714,0.000926864,0.030172596,0.03564347
Spring,Male_Female,0.018992883,Otu00052,0.050699225,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.031682405,0.015836694,0.001796008,0.002486563
Spring,Male_Female,0.016890645,Otu00076,0.050699225,0.176304261,Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group,0.02729655,0.015559634,0.000706573,0.000960991
Spring,Male_Female,0.015183771,Otu00068,0.050699225,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.024724215,0.002068904,0.000850688,0.001290289
Spring,Male_Female,0.014698811,Otu00015,0.050699225,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.028418309,0.001180176,0.005344143,0.009038694
Spring,Male_Female,0.011958923,Otu00016,0.050699225,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.020286182,0.000444596,0.001488166,0.001806782
Spring,Male_Female,0.011282094,Otu00032,0.050699225,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.020038421,0.013031127,0.002288431,0.002627421
All,Male_Female,0.024979968,Otu00018,0.051576623,0.176304261,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.023677032,0.046182507,0.023879977,0.068719147
Summer_Lab,Female_Male,0.015189755,Otu00022,0.053076885,0.176304261,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.019452589,0.05026862,0.008424882,0.004770589
All,IBA_Spring,0.030557479,Otu00074,0.05379681,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,9.05E-06,3.26E-05,0.05432007,0.124989396
Summer_Lab,Female_Male,0.022705697,Otu00092,0.055918439,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000726517,0.001563991,0.03692452,0.042918548
IBA,Female_Male,0.035002841,Otu00034,0.056085991,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.000924663,0.001835482,0.051992709,0.076911277
Summer_Wild,Male_Female,0.019358179,Otu00159,0.056530277,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.028694938,0.031216028,0.000353499,7.51E-06
All,IBA_Spring,0.014257983,Otu00013,0.057080314,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.026229039,0.038092367,0.002514406,0.00316332
Summer_Lab,Female_Male,0.014029218,Otu00014,0.058781721,0.176304261,Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group,0.006091992,0.004605206,0.027674992,0.021982702
All,SummerWild_IBA,0.02128115,Otu00011,0.058892944,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.002237962,0.002516307,0.039129498,0.04560739
Summer_Wild,Male_Female,0.049575009,Otu00116,0.060289174,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000471684,0.000580423,0.073030304,0.00463347
Summer_Wild,Male_Female,0.020366409,Otu00039,0.060289174,0.176304261,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.029851922,0.014261321,0,0
Summer_Wild,Male_Female,0.011001113,Otu00251,0.060289174,0.176304261,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_6,0.000919885,0.001113781,0.016999439,0.002221253
Summer_Wild,Male_Female,0.01097045,Otu00227,0.060289174,0.176304261,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.000675829,0.000781195,0.01672521,0.000311138
